descripcion,monto,categoria,es_gasto_hormiga,fuente,peso,X
"Otros aceites comestibles: canola, cacahuete, coco, almendras, dietéticos, etc.",1540,alimentacion,True,DANE_ENIG,1,"otros aceites comestibles: canola, cacahuete, coco, almendras, dietéticos, etc. monto:bajo"
Mantequilla de vaca,1871,alimentacion,True,DANE_ENIG,1,mantequilla de vaca monto:bajo
Margarinas,1614,alimentacion,True,DANE_ENIG,1,margarinas monto:bajo
Manteca vegetal,2176,alimentacion,True,DANE_ENIG,1,manteca vegetal monto:bajo
Manteca de cerdo,385,alimentacion,True,DANE_ENIG,1,manteca de cerdo monto:bajo
"Otras grasas y aceites (aceite de pescado y otros animales marinos, mantequilla de maní)",287,alimentacion,True,DANE_ENIG,1,"otras grasas y aceites (aceite de pescado y otros animales marinos, mantequilla de maní) monto:bajo"
Naranjas,5049,alimentacion,True,DANE_ENIG,1,naranjas monto:bajo
Limones,2039,alimentacion,True,DANE_ENIG,1,limones monto:bajo
Mandarinas,2501,alimentacion,True,DANE_ENIG,1,mandarinas monto:bajo
Toronjas,263,alimentacion,True,DANE_ENIG,1,toronjas monto:bajo
Limas,415,alimentacion,True,DANE_ENIG,1,limas monto:bajo
Cidras,285,alimentacion,True,DANE_ENIG,1,cidras monto:bajo
Bananos,3582,alimentacion,True,DANE_ENIG,1,bananos monto:bajo
Manzanas,4245,alimentacion,True,DANE_ENIG,1,manzanas monto:bajo
Peras,1988,alimentacion,True,DANE_ENIG,1,peras monto:bajo
Melones,1842,alimentacion,True,DANE_ENIG,1,melones monto:bajo
Mango,3588,alimentacion,True,DANE_ENIG,1,mango monto:bajo
Guayabas,3195,alimentacion,True,DANE_ENIG,1,guayabas monto:bajo
Guanábanas,1825,alimentacion,True,DANE_ENIG,1,guanábanas monto:bajo
Zapotes,825,alimentacion,True,DANE_ENIG,1,zapotes monto:bajo
Tamarindo,935,alimentacion,True,DANE_ENIG,1,tamarindo monto:bajo
Tomate de árbol,3714,alimentacion,True,DANE_ENIG,1,tomate de árbol monto:bajo
Moras,4150,alimentacion,True,DANE_ENIG,1,moras monto:bajo
Curubas,1593,alimentacion,True,DANE_ENIG,1,curubas monto:bajo
Maracuyá,3271,alimentacion,True,DANE_ENIG,1,maracuyá monto:bajo
Lulos,4090,alimentacion,True,DANE_ENIG,1,lulos monto:bajo
Patilla o sandía,1356,alimentacion,True,DANE_ENIG,1,patilla o sandía monto:bajo
Granadillas,1259,alimentacion,True,DANE_ENIG,1,granadillas monto:bajo
Piña,2507,alimentacion,True,DANE_ENIG,1,piña monto:bajo
Papaya,4291,alimentacion,True,DANE_ENIG,1,papaya monto:bajo
Papayuela,463,alimentacion,True,DANE_ENIG,1,papayuela monto:bajo
Uvas (verdes y rojas),2278,alimentacion,True,DANE_ENIG,1,uvas (verdes y rojas) monto:bajo
Fresas,2348,alimentacion,True,DANE_ENIG,1,fresas monto:bajo
Cocos,1299,alimentacion,True,DANE_ENIG,1,cocos monto:bajo
Albaricoques,1263,alimentacion,True,DANE_ENIG,1,albaricoques monto:bajo
Brevas,944,alimentacion,True,DANE_ENIG,1,brevas monto:bajo
Duraznos,2298,alimentacion,True,DANE_ENIG,1,duraznos monto:bajo
Chontaduros,1859,alimentacion,True,DANE_ENIG,1,chontaduros monto:bajo
Ciruelas,1137,alimentacion,True,DANE_ENIG,1,ciruelas monto:bajo
Aguacate,4250,alimentacion,True,DANE_ENIG,1,aguacate monto:bajo
Mangostino,749,alimentacion,True,DANE_ENIG,1,mangostino monto:bajo
Kiwi,493,alimentacion,True,DANE_ENIG,1,kiwi monto:bajo
Feijoa,783,alimentacion,True,DANE_ENIG,1,feijoa monto:bajo
Higo,701,alimentacion,True,DANE_ENIG,1,higo monto:bajo
Chirimoya,653,alimentacion,True,DANE_ENIG,1,chirimoya monto:bajo
Otras frutas frescas,7733,alimentacion,True,DANE_ENIG,1,otras frutas frescas monto:bajo
Frutas congeladas o en pulpa,6079,alimentacion,True,DANE_ENIG,1,frutas congeladas o en pulpa monto:bajo
"Almendras y otras nueces (maní, cacahuete, pistacho, etc)",834,alimentacion,True,DANE_ENIG,1,"almendras y otras nueces (maní, cacahuete, pistacho, etc) monto:bajo"
"Frutas deshidratadas y cristalizadas: peras, uvas y ciruelas pasas",2359,alimentacion,True,DANE_ENIG,1,"frutas deshidratadas y cristalizadas: peras, uvas y ciruelas pasas monto:bajo"
Tomate,5760,alimentacion,True,DANE_ENIG,1,tomate monto:bajo
Cebolla cabezona,4453,alimentacion,True,DANE_ENIG,1,cebolla cabezona monto:bajo
"Cebolla larga o en rama (bermuda, junca)",3772,alimentacion,True,DANE_ENIG,1,"cebolla larga o en rama (bermuda, junca) monto:bajo"
Cebollin,1187,alimentacion,True,DANE_ENIG,1,cebollin monto:bajo
Zanahoria,3333,alimentacion,True,DANE_ENIG,1,zanahoria monto:bajo
Remolacha,869,alimentacion,True,DANE_ENIG,1,remolacha monto:bajo
Pepino cohombro,1165,alimentacion,True,DANE_ENIG,1,pepino cohombro monto:bajo
Pimentón,956,alimentacion,True,DANE_ENIG,1,pimentón monto:bajo
Pepino para guisar o rellenar,543,alimentacion,True,DANE_ENIG,1,pepino para guisar o rellenar monto:bajo
Nabos,564,alimentacion,True,DANE_ENIG,1,nabos monto:bajo
Rábanos,480,alimentacion,True,DANE_ENIG,1,rábanos monto:bajo
Ajos,1307,alimentacion,True,DANE_ENIG,1,ajos monto:bajo
Ají,1052,alimentacion,True,DANE_ENIG,1,ají monto:bajo
Lechuga,1736,alimentacion,True,DANE_ENIG,1,lechuga monto:bajo
Espinaca,1061,alimentacion,True,DANE_ENIG,1,espinaca monto:bajo
Acelga,971,alimentacion,True,DANE_ENIG,1,acelga monto:bajo
"Repollo, repollitas",1359,alimentacion,True,DANE_ENIG,1,"repollo, repollitas monto:bajo"
Coliflor,1235,alimentacion,True,DANE_ENIG,1,coliflor monto:bajo
Brócoli,885,alimentacion,True,DANE_ENIG,1,brócoli monto:bajo
Coles (tallos),239,alimentacion,True,DANE_ENIG,1,coles (tallos) monto:bajo
Apio en rama,723,alimentacion,True,DANE_ENIG,1,apio en rama monto:bajo
Alcachofas,1015,alimentacion,True,DANE_ENIG,1,alcachofas monto:bajo
Espárragos,313,alimentacion,True,DANE_ENIG,1,espárragos monto:bajo
Ahuyama,1456,alimentacion,True,DANE_ENIG,1,ahuyama monto:bajo
Calabaza,766,alimentacion,True,DANE_ENIG,1,calabaza monto:bajo
Calabacín,938,alimentacion,True,DANE_ENIG,1,calabacín monto:bajo
Fríjol verde en vaina,1695,alimentacion,True,DANE_ENIG,1,fríjol verde en vaina monto:bajo
Fríjol verde desgranado,1819,alimentacion,True,DANE_ENIG,1,fríjol verde desgranado monto:bajo
Arveja verde en vaina,3509,alimentacion,True,DANE_ENIG,1,arveja verde en vaina monto:bajo
Arveja verde desgranada,4047,alimentacion,True,DANE_ENIG,1,arveja verde desgranada monto:bajo
Habas verdes en vaina,611,alimentacion,True,DANE_ENIG,1,habas verdes en vaina monto:bajo
Habas verdes desgranadas,521,alimentacion,True,DANE_ENIG,1,habas verdes desgranadas monto:bajo
Habichuelas,2986,alimentacion,True,DANE_ENIG,1,habichuelas monto:bajo
Mazorcas y maíz dulce,2064,alimentacion,True,DANE_ENIG,1,mazorcas y maíz dulce monto:bajo
Berenjenas,1108,alimentacion,True,DANE_ENIG,1,berenjenas monto:bajo
Champiñones y otros hongos comestibles,1907,alimentacion,True,DANE_ENIG,1,champiñones y otros hongos comestibles monto:bajo
"Otras verduras y leguminosas frescas: berros, chachafruto, algas comestibles, etc.",3393,alimentacion,True,DANE_ENIG,1,"otras verduras y leguminosas frescas: berros, chachafruto, algas comestibles, etc. monto:bajo"
verduras frescas amarradas (macitos de la Costa Atlántica),2288,alimentacion,True,DANE_ENIG,1,verduras frescas amarradas (macitos de la costa atlántica) monto:bajo
"Verduras picadas en bandeja o en bolsa (revuelto verde, macitos)",5102,alimentacion,True,DANE_ENIG,1,"verduras picadas en bandeja o en bolsa (revuelto verde, macitos) monto:bajo"
"Talego, bolsa, bandeja o tarro de ensalada",558,alimentacion,True,DANE_ENIG,1,"talego, bolsa, bandeja o tarro de ensalada monto:bajo"
"Fríjol seco: bolaroja, cargamanto, guarzo, guandul, zaragoza, blanquillo, etc.",9760,alimentacion,True,DANE_ENIG,1,"fríjol seco: bolaroja, cargamanto, guarzo, guandul, zaragoza, blanquillo, etc. monto:bajo"
Arveja seca,2331,alimentacion,True,DANE_ENIG,1,arveja seca monto:bajo
Habas secas,1923,alimentacion,True,DANE_ENIG,1,habas secas monto:bajo
Lentejas,4398,alimentacion,True,DANE_ENIG,1,lentejas monto:bajo
Garbanzos,1504,alimentacion,True,DANE_ENIG,1,garbanzos monto:bajo
"Verduras, hortalizas y legumbres enlatadas: arveja, fríjoles, maíz, espárrago",10795,alimentacion,False,DANE_ENIG,1,"verduras, hortalizas y legumbres enlatadas: arveja, fríjoles, maíz, espárrago monto:bajo"
"Aceitunas, alcaparras, pepinillos y otros encurtidos en tarro",5162,alimentacion,True,DANE_ENIG,1,"aceitunas, alcaparras, pepinillos y otros encurtidos en tarro monto:bajo"
Legumbres y hortalizas deshidratadas,7311,alimentacion,True,DANE_ENIG,1,legumbres y hortalizas deshidratadas monto:bajo
Plátano verde,7438,alimentacion,True,DANE_ENIG,1,plátano verde monto:bajo
Plátano maduro,4332,alimentacion,True,DANE_ENIG,1,plátano maduro monto:bajo
"Colicero, guineo, mataburro",1446,alimentacion,True,DANE_ENIG,1,"colicero, guineo, mataburro monto:bajo"
"Papa común: pastusa, tocarreña, R12",11400,alimentacion,False,DANE_ENIG,1,"papa común: pastusa, tocarreña, r12 monto:bajo"
Papa criolla o amarilla,3254,alimentacion,True,DANE_ENIG,1,papa criolla o amarilla monto:bajo
Yuca,5911,alimentacion,True,DANE_ENIG,1,yuca monto:bajo
Arracacha,1235,alimentacion,True,DANE_ENIG,1,arracacha monto:bajo
Ñame,4099,alimentacion,True,DANE_ENIG,1,ñame monto:bajo
"Ullucos, cubios, hibias, chuguas, rubas",1576,alimentacion,True,DANE_ENIG,1,"ullucos, cubios, hibias, chuguas, rubas monto:bajo"
"Otras raíces y tubérculos: mafafa, achira, batata, etc",1203,alimentacion,True,DANE_ENIG,1,"otras raíces y tubérculos: mafafa, achira, batata, etc monto:bajo"
"Papa, yuca y plátano precocidos",2040,alimentacion,True,DANE_ENIG,1,"papa, yuca y plátano precocidos monto:bajo"
"Harina de plátano, de yuca, de achiras, puré de papas",830,alimentacion,True,DANE_ENIG,1,"harina de plátano, de yuca, de achiras, puré de papas monto:bajo"
Azúcar refinada,6415,alimentacion,True,DANE_ENIG,1,azúcar refinada monto:bajo
Azúcar natural o morena,6950,alimentacion,True,DANE_ENIG,1,azúcar natural o morena monto:bajo
"Endulzantes dietéticos: Aspartame, fructuosa",14752,alimentacion,False,DANE_ENIG,1,"endulzantes dietéticos: aspartame, fructuosa monto:bajo"
Panela,10231,alimentacion,False,DANE_ENIG,1,panela monto:bajo
Jaleas y mermeladas,1033,alimentacion,True,DANE_ENIG,1,jaleas y mermeladas monto:bajo
Compotas,2519,alimentacion,True,DANE_ENIG,1,compotas monto:bajo
Bocadillos,1763,alimentacion,True,DANE_ENIG,1,bocadillos monto:bajo
Arequipe,1681,alimentacion,True,DANE_ENIG,1,arequipe monto:bajo
"Herpos, tumes y otros dulces de arequipe y bocadillo",994,alimentacion,True,DANE_ENIG,1,"herpos, tumes y otros dulces de arequipe y bocadillo monto:bajo"
Gelatina de pata negra o blanca,449,alimentacion,True,DANE_ENIG,1,gelatina de pata negra o blanca monto:bajo
"Gelatinas, flanes y pudines en vaso listos para el consumo",1839,alimentacion,True,DANE_ENIG,1,"gelatinas, flanes y pudines en vaso listos para el consumo monto:bajo"
"Miel de abejas, melazas y almíbares",2686,alimentacion,True,DANE_ENIG,1,"miel de abejas, melazas y almíbares monto:bajo"
Pasta de chocolate para ponqué y cobertura de chocolate,808,alimentacion,True,DANE_ENIG,1,pasta de chocolate para ponqué y cobertura de chocolate monto:bajo
"Dulces, confites, caramelos, bombones, chocolatinas, chicles, masmelos",3363,alimentacion,True,DANE_ENIG,1,"dulces, confites, caramelos, bombones, chocolatinas, chicles, masmelos monto:bajo"
"Helados, conos, paletas, vasitos, refrescos congelados y tortas heladas",6363,alimentacion,True,DANE_ENIG,1,"helados, conos, paletas, vasitos, refrescos congelados y tortas heladas monto:bajo"
"Gelatinas, flanes y pudines en polvo para preparar",2317,alimentacion,True,DANE_ENIG,1,"gelatinas, flanes y pudines en polvo para preparar monto:bajo"
Polvo para preparar helados,886,alimentacion,True,DANE_ENIG,1,polvo para preparar helados monto:bajo
"Frutas en conserva: Melocotón, piña, brevas, etc.",4149,alimentacion,True,DANE_ENIG,1,"frutas en conserva: melocotón, piña, brevas, etc. monto:bajo"
Salsa de tomate,5061,alimentacion,True,DANE_ENIG,1,salsa de tomate monto:bajo
Mayonesa,3634,alimentacion,True,DANE_ENIG,1,mayonesa monto:bajo
"Mostaza, salsa rosada",1086,alimentacion,True,DANE_ENIG,1,"mostaza, salsa rosada monto:bajo"
Pasta de tomate,2418,alimentacion,True,DANE_ENIG,1,pasta de tomate monto:bajo
"Otras salsas: salsa de soya, salsa china, salsa tártara, salsa de ají, ají picante",2085,alimentacion,True,DANE_ENIG,1,"otras salsas: salsa de soya, salsa china, salsa tártara, salsa de ají, ají picante monto:bajo"
Vinagre,998,alimentacion,True,DANE_ENIG,1,vinagre monto:bajo
Sal,1665,alimentacion,True,DANE_ENIG,1,sal monto:bajo
Cominos,489,alimentacion,True,DANE_ENIG,1,cominos monto:bajo
Pimienta,183,alimentacion,True,DANE_ENIG,1,pimienta monto:bajo
Laurel,176,alimentacion,True,DANE_ENIG,1,laurel monto:bajo
Tomillo,94,alimentacion,True,DANE_ENIG,1,tomillo monto:bajo
Color,554,alimentacion,True,DANE_ENIG,1,color monto:bajo
"Ajo en polvo o en pasta, canela, clavos, nuez moscada",277,alimentacion,True,DANE_ENIG,1,"ajo en polvo o en pasta, canela, clavos, nuez moscada monto:bajo"
"Hierbas culinarias: perejil, cilantro, romero, orégano, etc",687,alimentacion,True,DANE_ENIG,1,"hierbas culinarias: perejil, cilantro, romero, orégano, etc monto:bajo"
"Sopas: de vegetales, de carne, de pollo, de pescado, cremas de sobre, sopas para bebe",1700,alimentacion,True,DANE_ENIG,1,"sopas: de vegetales, de carne, de pollo, de pescado, cremas de sobre, sopas para bebe monto:bajo"
Caldos y consomés concentrados (cubos y polvo),1454,alimentacion,True,DANE_ENIG,1,caldos y consomés concentrados (cubos y polvo) monto:bajo
Bases para preparar carnes y otros alimentos,294,alimentacion,True,DANE_ENIG,1,bases para preparar carnes y otros alimentos monto:bajo
"Frituras: papas fritas, chitos, maizitos, patacones, besitos, etc",10413,alimentacion,False,DANE_ENIG,1,"frituras: papas fritas, chitos, maizitos, patacones, besitos, etc monto:bajo"
Levaduras y esencias (polvo para hornear),294,alimentacion,True,DANE_ENIG,1,levaduras y esencias (polvo para hornear) monto:bajo
Alimentos precocidos: ajiaco y lechona enlatados y similares,6341,alimentacion,True,DANE_ENIG,1,alimentos precocidos: ajiaco y lechona enlatados y similares monto:bajo
Mercados sin especificar productos,329201,alimentacion,False,DANE_ENIG,1,mercados sin especificar productos monto:alto
Anchetas,6457,alimentacion,True,DANE_ENIG,1,anchetas monto:bajo
Café molido,6609,alimentacion,True,DANE_ENIG,1,café molido monto:bajo
Café instantáneo en polvo o granulado,3560,alimentacion,True,DANE_ENIG,1,café instantáneo en polvo o granulado monto:bajo
Café en grano,1213,alimentacion,True,DANE_ENIG,1,café en grano monto:bajo
"Otras bebidas preparadas con café instantáneo: capuchino, mocachino, café con leche",787,alimentacion,True,DANE_ENIG,1,"otras bebidas preparadas con café instantáneo: capuchino, mocachino, café con leche monto:bajo"
Extractos y esencias de café,204,alimentacion,True,DANE_ENIG,1,extractos y esencias de café monto:bajo
Chocolate en pastillas (con y sin azúcar),5532,alimentacion,True,DANE_ENIG,1,chocolate en pastillas (con y sin azúcar) monto:bajo
Chocolate instantáneo en polvo o granulado,1908,alimentacion,True,DANE_ENIG,1,chocolate instantáneo en polvo o granulado monto:bajo
Cocoa y chucula,496,alimentacion,True,DANE_ENIG,1,cocoa y chucula monto:bajo
Polvo para preparar bebidas achocolatadas,526,alimentacion,True,DANE_ENIG,1,polvo para preparar bebidas achocolatadas monto:bajo
Bebidas achocolatadas listas para consumir,581,alimentacion,True,DANE_ENIG,1,bebidas achocolatadas listas para consumir monto:bajo
Té,394,alimentacion,True,DANE_ENIG,1,té monto:bajo
"Hierbas aromáticas (secas y frescas), mate",394,alimentacion,True,DANE_ENIG,1,"hierbas aromáticas (secas y frescas), mate monto:bajo"
Agua mineral,6126,alimentacion,True,DANE_ENIG,1,agua mineral monto:bajo
Agua en lata o de carrotanque,6428,alimentacion,True,DANE_ENIG,1,agua en lata o de carrotanque monto:bajo
Hielo,1629,alimentacion,True,DANE_ENIG,1,hielo monto:bajo
Gaseosas,13425,alimentacion,False,DANE_ENIG,1,gaseosas monto:bajo
Maltas,2425,alimentacion,True,DANE_ENIG,1,maltas monto:bajo
Refrescos líquidos empacados (jugos y bebidas hidratantes),3194,alimentacion,True,DANE_ENIG,1,refrescos líquidos empacados (jugos y bebidas hidratantes) monto:bajo
Concentrados para preparar refrescos,3533,alimentacion,True,DANE_ENIG,1,concentrados para preparar refrescos monto:bajo
Aguardiente,33228,alimentacion,False,DANE_ENIG,1,aguardiente monto:medio
Ron,37510,alimentacion,False,DANE_ENIG,1,ron monto:medio
"Whisky, brandy, vodka, ginebra, cognac, tequila y similares",100127,alimentacion,False,DANE_ENIG,1,"whisky, brandy, vodka, ginebra, cognac, tequila y similares monto:medio"
"Cremas de licor (de amareto, de whisky, etc.), sabajón y ponche crema",32322,alimentacion,False,DANE_ENIG,1,"cremas de licor (de amareto, de whisky, etc.), sabajón y ponche crema monto:medio"
"Otras bebidas alcohólicas: aperitivos que no sean a base de vino, mezclas de coc",18736,alimentacion,False,DANE_ENIG,1,"otras bebidas alcohólicas: aperitivos que no sean a base de vino, mezclas de coc monto:bajo"
"Vino, champaña, jerez y aperitivos a base de vino",22341,alimentacion,False,DANE_ENIG,1,"vino, champaña, jerez y aperitivos a base de vino monto:bajo"
Cerveza nacional e importada,29323,alimentacion,False,DANE_ENIG,1,cerveza nacional e importada monto:bajo
Refajo preparado: Cola y Pola,10281,alimentacion,False,DANE_ENIG,1,refajo preparado: cola y pola monto:bajo
Cigarrillos con filtro,18813,alimentacion,False,DANE_ENIG,1,cigarrillos con filtro monto:bajo
Cigarrillos sin filtro,8354,alimentacion,True,DANE_ENIG,1,cigarrillos sin filtro monto:bajo
Tabacos y picadura para pipa o para armar cigarrillos,8805,alimentacion,True,DANE_ENIG,1,tabacos y picadura para pipa o para armar cigarrillos monto:bajo
"Estupefacientes: cocaína, éxtasis, heroína, marihuana, bazuco, crack, etc.",7790,alimentacion,True,DANE_ENIG,1,"estupefacientes: cocaína, éxtasis, heroína, marihuana, bazuco, crack, etc. monto:bajo"
"Telas para la confección de ropa de hombre, mujer, niño, niña y bebé",13802,alimentacion,False,DANE_ENIG,1,"telas para la confección de ropa de hombre, mujer, niño, niña y bebé monto:bajo"
Camisas para hombre,19883,alimentacion,False,DANE_ENIG,1,camisas para hombre monto:bajo
"Camisetas, franelas, esqueletos, polos para hombre",14064,alimentacion,False,DANE_ENIG,1,"camisetas, franelas, esqueletos, polos para hombre monto:bajo"
"Calzoncillos, pantaloncillos, boxers para hombre",8338,alimentacion,True,DANE_ENIG,1,"calzoncillos, pantaloncillos, boxers para hombre monto:bajo"
Medias y calcetines para hombre,4930,alimentacion,True,DANE_ENIG,1,medias y calcetines para hombre monto:bajo
Pantalones para hombre,21922,alimentacion,False,DANE_ENIG,1,pantalones para hombre monto:bajo
jeans para hombre,27143,alimentacion,False,DANE_ENIG,1,jeans para hombre monto:bajo
"Bermudas, pantalonetas y pantalón corto para hombre",9944,alimentacion,True,DANE_ENIG,1,"bermudas, pantalonetas y pantalón corto para hombre monto:bajo"
"Vestido completo (sólo pantalón, chaqueta y/o chaleco) para hombre",108824,alimentacion,False,DANE_ENIG,1,"vestido completo (sólo pantalón, chaqueta y/o chaleco) para hombre monto:medio"
"Blazers, chaquetas, chaquetones, chompas y sacos de sport en paño, cuero, gamuza",32096,alimentacion,False,DANE_ENIG,1,"blazers, chaquetas, chaquetones, chompas y sacos de sport en paño, cuero, gamuza monto:medio"
"Buzos, chalecos, sacos de lana y similares para hombre",18318,alimentacion,False,DANE_ENIG,1,"buzos, chalecos, sacos de lana y similares para hombre monto:bajo"
"Gabardinas, gabanes, abrigos y sobretodos para hombre",38830,alimentacion,False,DANE_ENIG,1,"gabardinas, gabanes, abrigos y sobretodos para hombre monto:medio"
Capas e impermeables para hombre,13095,alimentacion,False,DANE_ENIG,1,capas e impermeables para hombre monto:bajo
"Sudaderas, trusas y bicicleteros para hombre",19512,alimentacion,False,DANE_ENIG,1,"sudaderas, trusas y bicicleteros para hombre monto:bajo"
Pantalonetas de baño para hombre,8830,alimentacion,True,DANE_ENIG,1,pantalonetas de baño para hombre monto:bajo
Pijamas y batas para hombre,12453,alimentacion,False,DANE_ENIG,1,pijamas y batas para hombre monto:bajo
Otros artículos de vestir para hombre (depotivos y formales),13190,alimentacion,False,DANE_ENIG,1,otros artículos de vestir para hombre (depotivos y formales) monto:bajo
Blusas para mujer,16185,alimentacion,False,DANE_ENIG,1,blusas para mujer monto:bajo
"Camisetas, franelas y bodies para mujer",14529,alimentacion,False,DANE_ENIG,1,"camisetas, franelas y bodies para mujer monto:bajo"
"Pantalones, slacks y chicles para mujer",20838,alimentacion,False,DANE_ENIG,1,"pantalones, slacks y chicles para mujer monto:bajo"
"Shorts, bermudas y pantalonetas para mujer",13625,alimentacion,False,DANE_ENIG,1,"shorts, bermudas y pantalonetas para mujer monto:bajo"
Jeans para mujer,25556,alimentacion,False,DANE_ENIG,1,jeans para mujer monto:bajo
Faldas para mujer,13332,alimentacion,False,DANE_ENIG,1,faldas para mujer monto:bajo
"Brassieres, tops y sostenes para mujer",11226,alimentacion,False,DANE_ENIG,1,"brassieres, tops y sostenes para mujer monto:bajo"
Pantys (interiores) para mujer,7901,alimentacion,True,DANE_ENIG,1,pantys (interiores) para mujer monto:bajo
Media de lana y otros materiales diferente a velada para mujer,4597,alimentacion,True,DANE_ENIG,1,media de lana y otros materiales diferente a velada para mujer monto:bajo
Medias veladas para mujer,10020,alimentacion,False,DANE_ENIG,1,medias veladas para mujer monto:bajo
"Enaguas, fondos y combinaciones para mujer",6337,alimentacion,True,DANE_ENIG,1,"enaguas, fondos y combinaciones para mujer monto:bajo"
Vestidos confeccionados para mujer,34273,alimentacion,False,DANE_ENIG,1,vestidos confeccionados para mujer monto:medio
"Buzos, chalecos, sacos de lana y similares para mujer",17781,alimentacion,False,DANE_ENIG,1,"buzos, chalecos, sacos de lana y similares para mujer monto:bajo"
"Blazers, chaquetas, chaquetones y sacos de sport en paño, cuero, gamuza y otros materiales para muje",26679,alimentacion,False,DANE_ENIG,1,"blazers, chaquetas, chaquetones y sacos de sport en paño, cuero, gamuza y otros materiales para muje monto:bajo"
"Gabardinas, gabanes, abrigos y sobretodos para mujer",35112,alimentacion,False,DANE_ENIG,1,"gabardinas, gabanes, abrigos y sobretodos para mujer monto:medio"
Capas e impermeables para mujer,17439,alimentacion,False,DANE_ENIG,1,capas e impermeables para mujer monto:bajo
"Sudaderas, trusas y bicicleteros para mujer",13227,alimentacion,False,DANE_ENIG,1,"sudaderas, trusas y bicicleteros para mujer monto:bajo"
Traje de baño para mujer,16340,alimentacion,False,DANE_ENIG,1,traje de baño para mujer monto:bajo
Pijamas y batas para mujer,12098,alimentacion,False,DANE_ENIG,1,pijamas y batas para mujer monto:bajo
Otros artículos de vestir para mujer (deportivos y formales),24053,alimentacion,False,DANE_ENIG,1,otros artículos de vestir para mujer (deportivos y formales) monto:bajo
Camisas para niño,10636,alimentacion,False,DANE_ENIG,1,camisas para niño monto:bajo
"Camisetas, franelas, esqueletos, polos para niño",9809,alimentacion,True,DANE_ENIG,1,"camisetas, franelas, esqueletos, polos para niño monto:bajo"
"Calzoncillos, pantaloncillos, boxers para niño",5048,alimentacion,True,DANE_ENIG,1,"calzoncillos, pantaloncillos, boxers para niño monto:bajo"
Medias y calcetines para niño,3761,alimentacion,True,DANE_ENIG,1,medias y calcetines para niño monto:bajo
Pantalones para niño,12333,alimentacion,False,DANE_ENIG,1,pantalones para niño monto:bajo
Jeans para niño,16558,alimentacion,False,DANE_ENIG,1,jeans para niño monto:bajo
"Bermudas, pantalonetas y pantalón corto para niño",8840,alimentacion,True,DANE_ENIG,1,"bermudas, pantalonetas y pantalón corto para niño monto:bajo"
"Vestido completo (sólo pantalón, chaqueta y/o chaleco) para niño",21694,alimentacion,False,DANE_ENIG,1,"vestido completo (sólo pantalón, chaqueta y/o chaleco) para niño monto:bajo"
"Blazers, chaquetas, chompas y sacos de sport en paño, cuero, gamuza y otros mate",17475,alimentacion,False,DANE_ENIG,1,"blazers, chaquetas, chompas y sacos de sport en paño, cuero, gamuza y otros mate monto:bajo"
"Buzos, chalecos, sacos de lana y similares para niño",11988,alimentacion,False,DANE_ENIG,1,"buzos, chalecos, sacos de lana y similares para niño monto:bajo"
"Gabardinas, gabanes, abrigos y sobretodo para niño",32969,alimentacion,False,DANE_ENIG,1,"gabardinas, gabanes, abrigos y sobretodo para niño monto:medio"
Capas e impermeables para niño,4797,alimentacion,True,DANE_ENIG,1,capas e impermeables para niño monto:bajo
"Sudaderas, trusas y bicicleteros para niño",12919,alimentacion,False,DANE_ENIG,1,"sudaderas, trusas y bicicleteros para niño monto:bajo"
Pantalonetas de baño para niño,5784,alimentacion,True,DANE_ENIG,1,pantalonetas de baño para niño monto:bajo
Pijamas y batas para niño,9294,alimentacion,True,DANE_ENIG,1,pijamas y batas para niño monto:bajo
Otros artículos de vestir para niño (deportivos y formales),17110,alimentacion,False,DANE_ENIG,1,otros artículos de vestir para niño (deportivos y formales) monto:bajo
Blusas para niña,10176,alimentacion,False,DANE_ENIG,1,blusas para niña monto:bajo
"Camisetas, franelas y bodies para niña",7716,alimentacion,True,DANE_ENIG,1,"camisetas, franelas y bodies para niña monto:bajo"
"Pantalones, slacks y chicles para niña",11643,alimentacion,False,DANE_ENIG,1,"pantalones, slacks y chicles para niña monto:bajo"
"Shorts, bermudas y pantalonetas para niña",8552,alimentacion,True,DANE_ENIG,1,"shorts, bermudas y pantalonetas para niña monto:bajo"
jeans para niña,16679,alimentacion,False,DANE_ENIG,1,jeans para niña monto:bajo
Faldas para niña,9549,alimentacion,True,DANE_ENIG,1,faldas para niña monto:bajo
Vestidos confeccionados para niña,16380,alimentacion,False,DANE_ENIG,1,vestidos confeccionados para niña monto:bajo
"Enaguas, fondos, combinaciones para niña",5072,alimentacion,True,DANE_ENIG,1,"enaguas, fondos, combinaciones para niña monto:bajo"
Pantys (interiores) para niña,4576,alimentacion,True,DANE_ENIG,1,pantys (interiores) para niña monto:bajo
"Brassieres, sostenes, tops y acostumbradores para niña",6871,alimentacion,True,DANE_ENIG,1,"brassieres, sostenes, tops y acostumbradores para niña monto:bajo"
"Media tobillera, media pantalón, media media (velada, de lana y otros materiales",3113,alimentacion,True,DANE_ENIG,1,"media tobillera, media pantalón, media media (velada, de lana y otros materiales monto:bajo"
"Buzos, chalecos, sacos de lana y similares para niña",10451,alimentacion,False,DANE_ENIG,1,"buzos, chalecos, sacos de lana y similares para niña monto:bajo"
